('MATH',)  87676650
('construct',)  129594
('was',)  127897
('follow',)  127312
('belongs',)  126955
('``',)  126666
('say',)  126618
('process',)  126321
("''",)  125899
('due',)  125397
('algorithm',)  125164
('end',)  124913
('restriction',)  124903
('strictly',)  124613
('variable',)  124329
('weight',)  124105
('tree',)  124073
('finitely',)  123756
('expression',)  123719
('node',)  123613
('new',)  123108
('Consequently',)  121874
('distance',)  121671
('contain',)  120933
('homomorphism',)  120835
('notation',)  120661
('total',)  120600
('Notice',)  120351
('natural',)  120333
('injective',)  120260
('fix',)  120039
('recall',)  118368
('compare',)  118135
('estimates',)  117596
('coefficients',)  117193
('distribution',)  116252
('similarly',)  115823
('clearly',)  115666
('bundle',)  115514
('Set',)  115374
('Because',)  115107
('done',)  115044
('root',)  114852
('locally',)  114624
('Given',)  114571
('Combining',)  114272
('chosen',)  113882
('weak',)  113866
('already',)  113832
('existence',)  113035
('2',)  112853
('latter',)  112158
('symmetric',)  112010
('lies',)  111644
('partition',)  111587
('maximum',)  110978
('triangle',)  110823
('unit',)  110634
('view',)  110241
('contradicts',)  109800
('inclusion',)  109739
('those',)  109421
('initial',)  108956
('give',)  108389
('Denote',)  107919
('according',)  107819
('here',)  107647
('increasing',)  107256
('verify',)  106579
('vectors',)  106504
('infinite',)  106046
('denotes',)  105736
('When',)  105735
('metric',)  105386
('row',)  105254
('prime',)  104530
('them',)  104146
('third',)  103767
('kernel',)  103558
('coordinates',)  103175
('surjective',)  102254
('problem',)  102156
('induces',)  101398
('times',)  101328
('canonical',)  101259
('chain',)  100718
('onto',)  100402
('subsequence',)  100108
('right-hand',)  99691
('less',)  99583
('via',)  99362
('dimensional',)  99159
('dense',)  98979
('nonzero',)  98901
('directly',)  98609
('support',)  98598
('remaining',)  98499
('embedding',)  98077
('That',)  97942
('arguments',)  97878
('parts',)  97779
('words',)  97760
('functor',)  97641
('continuity',)  97484
('subspace',)  97115
('proposition',)  96710
('stable',)  96667
('computation',)  96572
('Taking',)  96315
('cover',)  95436
('nodes',)  95219
('inverse',)  94811
('square',)  94804
('conclusion',)  94707
('proper',)  94622
('diagonal',)  94254
('pairs',)  94032
('straightforward',)  93955
('paths',)  93742
('quotient',)  93653
('uniform',)  93557
('orthogonal',)  93317
('written',)  93204
('out',)  93032
('applied',)  92534
('section',)  92243
('homotopy',)  92211
('sides',)  92103
('results',)  91722
('One',)  91691
('adjacent',)  91653
('base',)  91540
('Take',)  91427
('corresponds',)  91382
('always',)  91190
('bounds',)  90796
('acts',)  90368
('negative',)  90345
('equations',)  89988
('domain',)  89769
('still',)  89665
('rational',)  89191
('obvious',)  89133
('depending',)  88582
('determined',)  88568
('vanishes',)  88461
('equals',)  88431
('modules',)  88413
('non-zero',)  88409
('series',)  88406
('precisely',)  88270
('block',)  88220
('Choose',)  88151
('relations',)  87859
('composition',)  87364
('further',)  87340
('next',)  87170
('model',)  86912
('steps',)  86592
('Without',)  86031
('mapping',)  85662
('column',)  85630
('direction',)  85620
('entries',)  85359
('factors',)  85340
('sufficient',)  85175
('reduced',)  85158
('groups',)  85143
('solutions',)  84920
('With',)  84892
('numbers',)  84799
('Otherwise',)  84696
('surface',)  84651
('matrices',)  84437
('setting',)  83808
('single',)  83362
('projective',)  83167
('sequences',)  83136
('constants',)  83082
('commutative',)  82786
('dual',)  82240
('spaces',)  82120
('notice',)  82019
('consists',)  81861
('According',)  81701
('optimal',)  81673
('ball',)  81391
('instance',)  81274
('start',)  81021
('seen',)  80956
('proceed',)  80922
('orbit',)  80622
('becomes',)  80544
('derivative',)  80356
('simply',)  79950
('level',)  79845
('another',)  79820
('minimum',)  79412
('subsets',)  79358
('Conversely',)  79316
('curves',)  79007
('operators',)  78995
('lines',)  78437
('turn',)  78213
('empty',)  77573
('divisor',)  77279
('make',)  77055
('coordinate',)  76630
('shall',)  76489
('depends',)  76073
('states',)  75991
('whenever',)  75691
('0',)  75659
('immediate',)  75627
('been',)  75538
('Again',)  75482
('indeed',)  75307
('inequalities',)  75254
('geodesic',)  75153
('concludes',)  75144
('classes',)  74988
('event',)  74628
('integers',)  74542
('coefficient',)  74201
('ring',)  74029
('belong',)  73263
('invertible',)  73132
('leads',)  72814
('affine',)  72229
('except',)  71855
('four',)  71837
('smaller',)  71753
('replace',)  71417
('interior',)  71222
('expansion',)  71196
('fiber',)  71137
('once',)  71020
('defines',)  71012
('holomorphic',)  70492
('split',)  70446
('word',)  70329
('instead',)  70298
('differential',)  70132
('weakly',)  69856
('lie',)  69717
('These',)  69701
('forms',)  69652
('calculation',)  69614
('takes',)  68992
('polynomials',)  68898
('eigenvalues',)  68612
('difference',)  68543
('commutes',)  68073
('singular',)  68060
('common',)  67910
('necessary',)  67747
('power',)  67439
('addition',)  67177
('depend',)  67049
('topology',)  66757
('decreasing',)  66683
('assumptions',)  66649
('constructed',)  66634
('vertical',)  66534
('full',)  66500
('strong',)  66030
('object',)  65942
('supported',)  65741
('position',)  65682
('preserves',)  65465
('abelian',)  65408
('close',)  65346
('category',)  64650
('radius',)  64549
('eigenvalue',)  64426
('symmetry',)  64199
('partial',)  64081
('generic',)  64028
('closure',)  63840
('permutation',)  63838
('homogeneous',)  63528
('starting',)  63460
('strongly',)  63445
('relative',)  63364
('inside',)  63234
('application',)  63212
('arc',)  63166
('replacing',)  63152
('See',)  63124
('automorphism',)  63011
('face',)  63000
('proving',)  62777
('rule',)  62484
('linearly',)  62464
('density',)  62351
('want',)  61869
('transformation',)  61789
('put',)  61774
('valid',)  61762
('sense',)  61761
('resulting',)  61551
('special',)  61512
('critical',)  61282
('tangent',)  61205
('segment',)  61074
('known',)  61018
('inner',)  60828
('characteristic',)  60795
('region',)  60752
('namely',)  60749
('strategy',)  60634
('analytic',)  60606
('roots',)  60526
('Further',)  60508
('multiplication',)  60384
('collection',)  60310
('universal',)  60302
('modulo',)  60289
('Write',)  60252
('flat',)  60251
('Case',)  60089
('combination',)  60083
('rows',)  59925
('described',)  59904
('error',)  59735
('provided',)  59412
('claimed',)  59400
('3',)  59315
('data',)  59271
('final',)  59252
('covering',)  59006
('cone',)  58984
('flow',)  58722
('plane',)  58505
('trivially',)  58389
('generators',)  58368
('greater',)  58285
('mean',)  58278
('having',)  58208
('cyclic',)  57946
('uniqueness',)  57891
('choosing',)  57848
('algebraic',)  57519
('long',)  57509
('whence',)  57416
('columns',)  57345
('itself',)  57265
('analogous',)  57118
('inductive',)  57104
('spectral',)  56804
('admits',)  56697
('manifold',)  56502
('good',)  56169
('outside',)  55994
('horizontal',)  55845
('transform',)  55731
('elementary',)  55721
('move',)  55467
('necessarily',)  55108
('extend',)  55102
('replaced',)  55079
('showing',)  55035
('intersect',)  55003
('defining',)  54883
('indices',)  54841
('integration',)  54829
('color',)  54575
('derivatives',)  54329
('reduction',)  54316
('sign',)  54205
('Each',)  54139
('rest',)  54137
('At',)  53995
('cohomology',)  53839
('parameter',)  53723
('equivariant',)  53702
('well-defined',)  53635
('smallest',)  53597
('input',)  53530
('lattice',)  53446
('within',)  53318
('what',)  53198
('tensor',)  53132
('After',)  53017
('loop',)  52977
('trace',)  52941
('leaves',)  52929
('extends',)  52896
('add',)  52869
('derive',)  52866
('about',)  52819
('principle',)  52730
('intersects',)  52713
('subgraph',)  52696
('summand',)  52682
('short',)  52436
('objects',)  52410
('around',)  52094
('bijection',)  51754
('larger',)  51748
('parallel',)  51642
('quadratic',)  51615
('measurable',)  51532
('intervals',)  51469
('occurs',)  51465
('multiple',)  51439
('contradicting',)  51430
('considering',)  51385
('coincides',)  51374
('should',)  51305
('complement',)  51290
('admissible',)  51236
('non-trivial',)  51133
('morphisms',)  51082
('unitary',)  50720
('finally',)  50698
('conjugate',)  50601
('uniquely',)  50600
('periodic',)  50561
('configuration',)  50517
('graphs',)  50380
('account',)  50235
('generator',)  50184
('theory',)  50155
('cycles',)  50110
('applies',)  50091
('Lemma',)  49989
('item',)  49881
('were',)  49691
('disk',)  49641
('expectation',)  49591
('entry',)  49521
('procedure',)  49431
('non-negative',)  49328
('blocks',)  49155
('character',)  49139
('yield',)  49091
('isomorphisms',)  49049
('non-empty',)  48955
('goes',)  48880
('approximation',)  48833
('adding',)  48775
('incident',)  48538
('Our',)  48521
('details',)  48494
('place',)  48335
('global',)  48030
('original',)  48023
('compatible',)  47933
('strict',)  47886
('iff',)  47881
('discrete',)  47829
('Theorem',)  47770
('origin',)  47747
('center',)  47702
('near',)  47639
('graded',)  47558
('infinity',)  47417
('pick',)  47360
('back',)  47222
('could',)  47200
('very',)  47156
('scheme',)  47142
('a.e.',)  46965
('parameters',)  46843
('countable',)  46812
('finishes',)  46792
('assumed',)  46630
('cost',)  46628
('top',)  46614
('vanish',)  46547
('matching',)  46451
('observation',)  46385
('completely',)  46327
('leaf',)  46304
('call',)  46204
('range',)  46164
('arbitrarily',)  46156
('rewrite',)  46123
('letting',)  46114
('restricted',)  45877
('uses',)  45844
('cell',)  45806
('argue',)  45801
('noting',)  45697
('double',)  45683
('impossible',)  45672
('nonnegative',)  45622
('energy',)  45592
('combining',)  45569
('fundamental',)  45487
('denoted',)  45452
('whether',)  45417
('comes',)  45414
('lift',)  45373
('suitable',)  45301
('represented',)  45255
("'",)  45190
('largest',)  45163
('curvature',)  45075
('computed',)  45018
('passing',)  44967
('based',)  44966
('torus',)  44955
('functional',)  44884
('extended',)  44800
('classical',)  44758
('taken',)  44740
('Due',)  44724
('nontrivial',)  44706
('algebras',)  44620
('allows',)  44511
('infer',)  44461
('copy',)  44417
('ensures',)  44404
('begin',)  44294
('And',)  44186
('sheaf',)  43776
('establish',)  43725
('equivalently',)  43700
('found',)  43598
('cut',)  43536
('pairwise',)  43491
('expected',)  43455
('ends',)  43415
('copies',)  43395
('among',)  43269
('contribution',)  43123
('correspond',)  43082
('possibly',)  42889
('circle',)  42863
('central',)  42807
('neighbourhood',)  42663
('definitions',)  42625
('law',)  42476
('iteration',)  42317
('All',)  42285
('occur',)  42257
('coincide',)  42185
('actually',)  42132
('appears',)  41906
('dominated',)  41876
('elliptic',)  41821
('resolution',)  41813
('principal',)  41700
('subgroups',)  41659
('like',)  41502
('consisting',)  41493
('multiplicity',)  41493
('additional',)  41468
('stated',)  41455
('scalar',)  41408
('usual',)  41403
('An',)  41396
('introduce',)  41100
('generating',)  41093
('sphere',)  40987
('monotone',)  40968
('identify',)  40910
('tends',)  40805
('work',)  40783
('label',)  40736
('arcs',)  40675
('weights',)  40670
('obviously',)  40644
('identical',)  40530
('torsion',)  40452
('nonempty',)  40217
('choices',)  40122
('converge',)  40009
('transition',)  39992
('orbits',)  39943
('moreover',)  39837
('main',)  39796
('remark',)  39793
('sends',)  39756
('left-hand',)  39503
('calculate',)  39456
('hyperbolic',)  39376
('proven',)  39216
('assuming',)  39151
('variety',)  39098
('how',)  38833
('output',)  38627
('analysis',)  38578
('situation',)  38558
('vanishing',)  38540
('cardinality',)  38539
('homology',)  38492
('asymptotic',)  38484
('symbol',)  38414
('absolute',)  38351
('test',)  38345
('consequently',)  38181
('contrary',)  38062
('reduce',)  38036
('commute',)  38000
('splitting',)  37978
('height',)  37933
('connecting',)  37913
('products',)  37900
('exponential',)  37886
('arrive',)  37884
('considered',)  37857
('gets',)  37828
('made',)  37688
('divisible',)  37591
('divides',)  37559
('appear',)  37543
('operation',)  37540
('Put',)  37519
('reduces',)  37481
('adjoint',)  37461
('constraint',)  37384
('monomial',)  37343
('filtration',)  37249
('until',)  37231
('endpoints',)  37183
('infinitely',)  37180
('version',)  37173
('measures',)  37129
('determine',)  37118
('basic',)  37072
('embedded',)  36957
('round',)  36874
('isometry',)  36801
('essentially',)  36748
('derived',)  36730
('connection',)  36729
('appropriate',)  36701
('converse',)  36700
('later',)  36665
('going',)  36632
('Substituting',)  36628
('regularity',)  36586
('coloring',)  36575
('sums',)  36473
('primitive',)  36422
('too',)  36400
('thanks',)  36343
('explicit',)  36297
('reader',)  36180
('orientation',)  36168
('sections',)  36147
('verified',)  36109
('identified',)  35957
('fields',)  35832
('equalities',)  35798
('representations',)  35640
('REF–REF',)  35487
('projections',)  35447
('faces',)  35362
('determinant',)  35332
('discussion',)  35321
('pointwise',)  35295
('duality',)  35279
('directed',)  35210
('More',)  35085
('surely',)  35076
('4',)  35041
('balls',)  34859
('implication',)  34789
('established',)  34701
('opposite',)  34648
('convergent',)  34456
('everywhere',)  34439
('ordered',)  34416
('bottom',)  34290
('conditional',)  34285
('contraction',)  34229
('control',)  34190
('whole',)  34172
('away',)  34098
('simplicity',)  34097
('codimension',)  34019
('divide',)  34014
('fibration',)  33963
('zeros',)  33963
('geometric',)  33913
('homeomorphism',)  33902
('phase',)  33824
('topological',)  33675
('span',)  33601
('triple',)  33595
('implying',)  33577
('orthonormal',)  33550
('hyperplane',)  33450
('makes',)  33448
('leading',)  33431
('Obviously',)  33367
('monotonicity',)  33366
('exceptional',)  33348
('moves',)  33307
('subalgebra',)  33293
('rate',)  33287
('a.s.',)  33258
('derivation',)  33201
('Letting',)  33167
('Proof',)  33149
('quantity',)  32987
('giving',)  32930
('translation',)  32915
('generalized',)  32874
('volume',)  32766
('non',)  32758
('neighbors',)  32752
('tuple',)  32731
('obtains',)  32652
('–',)  32643
('pullback',)  32628
('ensure',)  32622
('formulas',)  32606
('constraints',)  32530
('*',)  32332
('operations',)  32302
('cells',)  32100
('perfect',)  32074
('branch',)  32048
('ordering',)  32032
('list',)  32003
('preceding',)  31956
('provides',)  31799
('needed',)  31760
('integrating',)  31712
('essential',)  31645
('feasible',)  31630
('run',)  31596
('neither',)  31594
('unless',)  31591
('invariance',)  31590
('assignment',)  31561
('moment',)  31554
('genus',)  31484
('facts',)  31386
('half',)  31335
('symplectic',)  31303
('course',)  31197
('convexity',)  31128
('simplicial',)  31096
('recalling',)  31090
('identities',)  31043
('spanned',)  31033
('ones',)  30951
('integrable',)  30945
('locus',)  30929
('trees',)  30737
('types',)  30709
('angle',)  30561
('centered',)  30514
('crossing',)  30472
('possibilities',)  30459
('fibers',)  30430
('isolated',)  30366
('Setting',)  30297
('game',)  30281
('arrow',)  30224
(']',)  30189
('compactness',)  30141
('walk',)  30042
('changes',)  30031
('submodule',)  29985
('paragraph',)  29843
('Under',)  29834
('checked',)  29833
('limits',)  29818
('corollary',)  29811
('twice',)  29803
('triangles',)  29802
('present',)  29776
('added',)  29770
('images',)  29750
('boundedness',)  29731
('pure',)  29712
('beginning',)  29699
('neighbor',)  29619
('finish',)  29617
('generate',)  29608
('separately',)  29595
('represents',)  29557
('spectrum',)  29526
('expressed',)  29442
('reasoning',)  29425
('ideals',)  29332
('differentiable',)  29327
('method',)  29306
('agent',)  29290
('Any',)  29257
('degrees',)  29176
('inductively',)  29162
('generates',)  29125
('martingale',)  29071
('guarantees',)  29068
('binary',)  29058
('labeled',)  29002
('well-known',)  28966
('diffeomorphism',)  28955
('faithful',)  28955
('integrals',)  28868
('player',)  28867
('computations',)  28866
('summation',)  28848
('reverse',)  28840
('says',)  28789
('Gaussian',)  28753
('combined',)  28732
('description',)  28729
('monomials',)  28723
('NAME–NAME',)  28647
('harmonic',)  28632
('idea',)  28588
('oriented',)  28540
('string',)  28517
('appearing',)  28437
('nilpotent',)  28394
('identically',)  28350
('covered',)  28293
('link',)  28291
('completed',)  28281
('nor',)  28244
('Property',)  28241
('segments',)  28210
('bundles',)  28173
('consecutive',)  28142
('making',)  28103
('Pick',)  28056
('clique',)  28004
('potential',)  27944
('Fig',)  27858
('red',)  27842
('functors',)  27834
('parabolic',)  27746
('null',)  27717
('code',)  27656
('fixes',)  27653
('marked',)  27612
('endpoint',)  27603
('calculations',)  27376
('hypotheses',)  27350
('pass',)  27332
('tells',)  27314
('étale',)  27299
('however',)  27261
('definite',)  27231
('relatively',)  27192
('totally',)  27110
('expressions',)  27093
('simplex',)  27023
('approximate',)  26995
('colors',)  26913
('absolutely',)  26886
('eventually',)  26869
('normalized',)  26856
('valued',)  26825
('former',)  26813
('minimality',)  26783
('readily',)  26748
('requires',)  26735
('composite',)  26671
('internal',)  26638
('look',)  26594
('axis',)  26563
('complexity',)  26529
('cluster',)  26514
('[',)  26502
('exponent',)  26440
('subspaces',)  26406
('mapped',)  26356
('refer',)  26322
('factorization',)  26316
('during',)  26301
('remove',)  26300
('information',)  26298
('removing',)  26260
('Similar',)  26211
('explicitly',)  26209
('decompose',)  26200
('down',)  26166
('never',)  26120
('average',)  26093
('formal',)  26045
('solves',)  26034
('correct',)  26009
('supremum',)  26005
('estimated',)  25963
('omit',)  25959
('labels',)  25940
('involution',)  25937
('converging',)  25928
('statements',)  25838
('nothing',)  25816
('extensions',)  25769
('correspondence',)  25740
('Recalling',)  25736
('valuation',)  25730
('covers',)  25729
('determines',)  25708
('runs',)  25674
('go',)  25674
('period',)  25665
('effective',)  25659
('`',)  25585
('increase',)  25584
('separable',)  25492
('solve',)  25436
('positions',)  25426
('Putting',)  25397
('frame',)  25335
('certain',)  25333
('works',)  25331
('Together',)  25330
('high',)  25286
('variation',)  25263
('structures',)  25227
('big',)  25209
('rewritten',)  25202
('mentioned',)  25166
('summands',)  25135
('outer',)  25113
('area',)  25079
('gradient',)  25040
('establishes',)  25031
('happens',)  25016
('simplify',)  25007
('higher',)  24989
('stationary',)  24970
('representative',)  24956
('primes',)  24932
('complexes',)  24922
('substituting',)  24917
('Following',)  24912
('reach',)  24908
('distinguish',)  24887
('distributed',)  24806
('fourth',)  24787
('residue',)  24744
('proofs',)  24739
('-',)  24717
('consistent',)  24700
('highest',)  24635
('related',)  24589
('squares',)  24578
('multiplying',)  24565
('equivalences',)  24563
('mod',)  24561
('fibre',)  24551
('repeat',)  24475
('represent',)  24466
('middle',)  24438
('continue',)  24434
('isometric',)  24373
('Hamiltonian',)  24370
('ample',)  24369
('increases',)  24365
('comparison',)  24352
('Every',)  24306
('deformation',)  24286
('unity',)  24267
('equilibrium',)  24192
('weighted',)  24113
('current',)  24041
('partitions',)  24038
('preserving',)  24035
('indecomposable',)  24033
('lifts',)  24029
('splits',)  23897
('rules',)  23880
('whereas',)  23842
('perform',)  23781
('divisors',)  23752
('processes',)  23743
('none',)  23732
('Euclidean',)  23721
('shift',)  23715
('rise',)  23651
('Apply',)  23649
('semigroup',)  23642
('arrows',)  23626
('cube',)  23604
('box',)  23536
('blue',)  23506
('changing',)  23461
('remainder',)  23439
('source',)  23430
('events',)  23426
('entire',)  23396
('singularities',)  23388
('separated',)  23362
('Example',)  23348
('writing',)  23339
('Such',)  23335
('symbols',)  23320
('acyclic',)  23310
('homotopic',)  23191
('distributions',)  23161
('norms',)  23160
('removed',)  23148
('manner',)  23131
('multiplicative',)  23124
('stage',)  23109
('sheaves',)  23040
('permutations',)  23004
('rotation',)  22965
('shortest',)  22917
('underlying',)  22904
('dividing',)  22874
('convenience',)  22869
('conjugation',)  22836
('Thanks',)  22828
('actions',)  22817
('letter',)  22785
('identification',)  22778
('quantum',)  22711
('agree',)  22664
('scaling',)  22564
('summing',)  22556
('involving',)  22552
('restrict',)  22544
('independence',)  22534
('computing',)  22517
('introduced',)  22515
('diameter',)  22511
('definable',)  22432
('Assuming',)  22381
('meets',)  22377
('stability',)  22275
('Summing',)  22227
('unbounded',)  22215
('key',)  22214
('Second',)  22214
('preserved',)  22199
('circuit',)  22193
('items',)  22184
('bad',)  22181
('transitive',)  22102
('prefix',)  22025
('diagrams',)  22022
('respective',)  22013
('fully',)  21953
('completing',)  21944
('continuously',)  21925
('powers',)  21893
('included',)  21882
('surfaces',)  21874
('ways',)  21864
('lying',)  21851
('additive',)  21845
('deal',)  21838
('depth',)  21835
('notations',)  21808
('entropy',)  21808
("n't",)  21775
('ratio',)  21775
('forces',)  21737
('needs',)  21663
('independently',)  21661
('presentation',)  21606
('reason',)  21599
('categories',)  21594
('clause',)  21506
('mass',)  21471
('net',)  21458
('analogously',)  21437
('Table',)  21402
('acting',)  21379
('forward',)  21366
('network',)  21341
('several',)  21312
('Multiplying',)  21270
('require',)  21249
('I',)  21243
('Choosing',)  21207
('differ',)  21203
('bijective',)  21180
('bit',)  21141
('minimizer',)  21141
('Both',)  21064
('representing',)  20989
('far',)  20979
('conjugacy',)  20955
('interpolation',)  20887
('observing',)  20886
('pattern',)  20881
('ray',)  20860
('cross',)  20834
('singularity',)  20804
('followed',)  20788
('lifting',)  20747
('sending',)  20734
('slightly',)  20728
('slope',)  20648
('eigenvector',)  20565
('colored',)  20504
('return',)  20475
('s',)  20472
('bipartite',)  20398
('log',)  20383
('cocycle',)  20373
('substitution',)  20316
('hard',)  20315
('commutativity',)  20310
